#ROM,PARENT
005
1941
1941j,1941
1942
1942a,1942
1942b,1942
1943
1943j,1943
1943kai
1943mii
1944
1944j,1944
1945kiii
19xx
19xxa,19xx
19xxh,19xx
19xxj,19xx
19xxjr1,19xx
2020bb
2020bbh,2020bb
280zzzap
3countb
3in1semi
3kokushi
3stooges
3wonders
3wonderu,3wonders
40love
47pie2
47pie2o,47pie2
4dwarrio
4enraya
4in1
4in1boot
600,turtles
64streej,64street
64street
720
720g,720
720gr1,720
720r1,720
720r2,720
720r3,720
7jigen
7toitsu,mgakuen
800fath,mariner
88games
8ball
8ball1,8ball
8ballact
8ballat2,8ballact
8bpm,8ballact
99lstwar,sonofphx
99lstwra,sonofphx
9ballsh2,coolpool
9ballsh3,coolpool
9ballsht,coolpool
a51mxr3k,area51mx
aafb
aafbb,aafb
aafbc,aafb
aafbd2p,aafb
abaseb
abaseb2,abaseb
aburner,aburner2
aburner2
ace
aceattac
acedrvrw
acitya,bwcasino
acrobatm
actfanc1,actfancr
actfancj,actfancr
actfancr
aeroboto,formatz
aerofgt
aerofgtb,aerofgt
aerofgtc,aerofgt
afighter
agallet
ainferno
airattck
airattcka,airattck
airbustj,airbustr
airbustr
airco22b
aircombj
aircombu,aircombj
airduel
airraid,cshooter
airwolf
ajax
ajaxj,ajax
akiss
akkanvdr,spcinv95
alcon,slapfigh
alexkida,alexkidd
alexkidd
alibaba
alibabab,alibaba
alien3
alienar
alienaru
alieninv,invaders
aliens
aliens2,aliens
aliensj,aliens
aliensu,aliens
aliensya,aliensyn
aliensyb,aliensyn
aliensyj,aliensyn
aliensyn
aligator
aligatun,aligator
alleymas
alphaho
alpham2
alphaona,mhavoc
alphaone,mhavoc
alphaxz,m660
alpine
alpinea,alpine
alpinerc,alpinerd
alpinerd
altbeas2,altbeast
altbeast
amatelas,amazon
amazon
ambush
ambusht,ambush
amerdart
amidar
amidaro,amidar
amidars,amidar
amidaru,amidar
amigo,amidar
amspdwy
amspdwya,amspdwy
androdun
andromed
angelkds
anteater
aodk
aof
aof2
aof3
apb
apb1,apb
apb2,apb
apb3,apb
apb4,apb
apb5,apb
apb6,apb
apbf,apb
apbg,apb
aponow,rescue
apparel
appoooh
aquajack
aquajckj,aquajack
aquarium
aquarush
arabfgt
arabiamj,arabianm
arabiamu,arabianm
arabian
arabiana,arabian
arabianm
arbalest
arcadecl
arcadia,nyny
archriv2,archrivl
archrivl
area51
area51mx
area88,unsquad
arescue
argus
arkangc,arkanoid
arkanoid
arkarea
arkatayt,arkanoid
arkatour,arkanoid
arkbl2,arkanoid
arkbl3,arkanoid
arkbloc2,arkanoid
arkblock,arkanoid
arknid2j,arknoid2
arknid2u,arknoid2
arknoid2
arknoidj,arkanoid
arknoidu,arkanoid
arknoiuo,arkanoid
arkretrn
arlingtn
armedf
armora
armorap,armora
armorar,armora
armorca2,armorcar
armorcar
armwar
armwara,armwar
armwaru,armwar
armwrest
ashnojoe
ashura
ashurau,ashura
aso
assault
assaultj,assault
assaultp,assault
astdelu1,astdelux
astdelux
asterix
asterock,asteroid
asteroi1,asteroid
asteroib,asteroid
asteroid
astinvad
astorm
astorm2p,astorm
astormbl,astorm
astrass
astrob
astrob1,astrob
astrob2,astrob
