#ROM,P1Bnt1,P1Btn2,P1Btn3,P1Btn4,P1Btn5,P1Btn6,P1Btn7,P1Btn8,P1Btn9,P1Btn10
005,Fire
10yard,Pass/Hike,Lateral
10yardj,Pass/Hike,Lateral
1941,Fire,Loop
1942,Fire,Loop
1943,Fire,Special
1943kai,A,B
1944,Shoot,Bomb
19xx,Shoot,Bomb
39in1,A,B,C
3stooges,Slap/Throw
3wonders,Attack,Jump,??
47pie2
4dwarrio,Fire,Bomb
4enraya,Down,Shot
4in1,Fire
64street,Attack,Jump
720,Kick,Jump
7jigen
88games,Run,Jump,Run
a51site4,Fire
aafb,Action
abaseb,Action
aburner2,Fire,Vulcan,Unknown
ace,Fire
acrobatm,Fire,Bomb
actfancr,Fire,Jump
aerofgt,Fire,Bomb
airbustr,Fire,Fire
airduel,Gun,Guided Bomb,Unknown,Unknown
airwolf,Fire,Bomb
ajax,Machine Gun,Missle,Super Weapon
akiss
alexkidd,Attack,Jump,Unknown
alibaba,Drop
alien3,Fire,Secondary Weapon
aliens,Shoot 1,Shoot 2
aliensyn,Fire
alleymas,Left,Right
alphaho,Accel
alpine,Ski Faster
alpinerd,Decision,Left (Select),Right (Select)
altbeast,Punch,Kick,Jump
amazon,Fire,Bomb
amerdart,Lock
amidar,Jump
amspdwy,Accel
angelkds
anteater,Tongue
apb,Siren/Start,Fire
apparel
aquajack,Machine Gun,Jump,Vulcan,Thrust
aquarium,Rotate Right,Rotate Left
arabian,Kick
arbalest,Fire,Special
arcadecl,Left Missile,Center Missile,Right Missile
archrivl,Shoot/Jump,Pass/Punch
area51,Fire
area51mx,Fire
argus,Fire,Laser
arkanoid,Fire
arkarea,Fire,Direction
arknoid2,Fire
arlingtn,Win,Place,Show,Collect
armedf,Fire,Special,Unknown
armora,Fire,Forward
armorcar,Sawhorse,2nd Gear
armwrest,Power
ashura,Fire,Bomb
aso,Laser,Missile,Power Up
assault,Fire
astdelux,Fire,Thrust,Shields
asterix,Attack,Jump
asteroid,Fire,Thrust,Hyperspace
astinvad,FIRE
astorm,Attack,Roll,Special
astrob,Fire,Warp
astrof,Missile
asuka,Fire,Bomb
asylum,Attack,Jump
atarifb,Play/Pass/Kick
